Chapter,Section,Sub-Section,Block,Paragraph,Classifications,Compliance,CID,ControlText
"1. About information security","1.1. Understanding and using the NZISM",Objective,,1.1.1.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,Scope,1.1.2.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,Scope,1.1.3.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,Scope,1.1.4.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,Scope,1.1.5.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,Scope,1.1.6.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,"The purpose of this Manual",1.1.7.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,"The purpose of this Manual",1.1.8.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,"Target audience",1.1.9.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,"Structure of this Manual",1.1.10.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,"Structure of this Manual",1.1.11.,,,,
"1. About information security","1.1. Understanding and using the NZISM",Context,"The New Zealand Government Security Classification System",1.1.12.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Accreditation Authority",1.1.13.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Accreditation Authority",1.1.14.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Accreditation Authority",1.1.15.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Accreditation Authority",1.1.16.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Accreditation Authority",1.1.17.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Certification and Accreditation Processes",1.1.18.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Certification and Accreditation Processes",1.1.19.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Certification and Accreditation Processes",1.1.20.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Certification and Accreditation Processes",1.1.21.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Certification and Accreditation Processes",1.1.22.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Certification and Accreditation Processes",1.1.23.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Certification and Accreditation Processes",1.1.24.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Certification and Accreditation Processes",1.1.25.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","“All Classifications” category",1.1.26.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Compartmented Information",1.1.27.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Concept of Operations (ConOp) Document",1.1.28.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions",Information,1.1.29.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Information Asset",1.1.30.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Information Assurance (IA)",1.1.31.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Information Security",1.1.32.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Information Security",1.1.33.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Information Systems",1.1.34.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Information Systems Governance",1.1.35.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Secure Area",1.1.36.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Security Posture",1.1.37.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","Sensitive Compartmented Information Facility (SCIF)",1.1.38.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Key definitions","System Owner",1.1.39.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Controls language",1.1.40.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Applicability of controls",1.1.41.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Applicability of controls",1.1.42.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Applicability of controls",1.1.43.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Identification and Selection of controls",1.1.44.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Controls with a “MUST” or “MUST NOT” requirement",1.1.45.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Controls with a “MUST” or “MUST NOT” requirement",1.1.46.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Controls with a “SHOULD” or “SHOULD NOT” requirement",1.1.47.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Controls with a “SHOULD” or “SHOULD NOT” requirement",1.1.48.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Controls with a “SHOULD” or “SHOULD NOT” requirement",1.1.49.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls",Non-compliance,1.1.50.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls",Non-compliance,1.1.51.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls",Non-compliance,1.1.52.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls",Non-compliance,1.1.53.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls",Non-compliance,1.1.54.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Interpretation of controls","Rationale Statements",1.1.55.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Risk management","Risk Management Standards",1.1.56.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Risk management","Risk Management Standards",1.1.57.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Risk management","The NZISM and Risk Management ",1.1.58.,,,,
"1. About information security","1.1. Understanding and using the NZISM","Risk management","The NZISM and Risk Management ",1.1.59.,,,,
